,Series_Type,Series_Name
96,ARBEURN,"Unemployment Rate in Benton County, AR"
97,ARBOURN,"Unemployment Rate in Boone County, AR"
98,ARBRURN,"Unemployment Rate in Bradley County, AR"
99,ARCAURN,"Unemployment Rate in Calhoun County, AR"
100,ARCEURN,"Unemployment Rate in Cleburne County, AR"
101,ARCHURN,"Unemployment Rate in Chicot County, AR"
102,ARCIURN,"Unemployment Rate in Craighead County, AR"
103,ARCLURN,"Unemployment Rate in Clark County, AR"
104,ARCNURN,"Unemployment Rate in Conway County, AR"
105,ARCOURN,"Unemployment Rate in Columbia County, AR"
106,ARCRURN,"Unemployment Rate in Carroll County, AR"
107,ARCSURN,"Unemployment Rate in Cross County, AR"
108,ARCTURN,"Unemployment Rate in Crittenden County, AR"
109,ARCVURN,"Unemployment Rate in Cleveland County, AR"
110,ARCWURN,"Unemployment Rate in Crawford County, AR"
111,ARCYURN,"Unemployment Rate in Clay County, AR"
112,ARDAURN,"Unemployment Rate in Dallas County, AR"
113,ARDEURN,"Unemployment Rate in Desha County, AR"
114,ARDRURN,"Unemployment Rate in Drew County, AR"
115,ARFAURN,"Unemployment Rate in Faulkner County, AR"
116,ARFRURN,"Unemployment Rate in Franklin County, AR"
117,ARFUURN,"Unemployment Rate in Fulton County, AR"
118,ARGAURN,"Unemployment Rate in Garland County, AR"
119,ARGEURN,"Unemployment Rate in Greene County, AR"
120,ARGRURN,"Unemployment Rate in Grant County, AR"
121,ARHEURN,"Unemployment Rate in Hempstead County, AR"
122,ARHOURN,"Unemployment Rate in Hot Spring County, AR"
123,ARHWURN,"Unemployment Rate in Howard County, AR"
124,ARINURN,"Unemployment Rate in Independence County, AR"
125,ARIZURN,"Unemployment Rate in Izard County, AR"
126,ARJAURN,"Unemployment Rate in Jackson County, AR"
127,ARJEURN,"Unemployment Rate in Jefferson County, AR"
128,ARJOURN,"Unemployment Rate in Johnson County, AR"
129,ARLAURN,"Unemployment Rate in Lafayette County, AR"
130,ARLEURN,"Unemployment Rate in Lee County, AR"
131,ARLIURN,"Unemployment Rate in Lincoln County, AR"
132,ARLNURN,"Unemployment Rate in Lonoke County, AR"
133,ARLOURN,"Unemployment Rate in Logan County, AR"
134,ARLTURN,"Unemployment Rate in Little River County, AR"
135,ARLWURN,"Unemployment Rate in Lawrence County, AR"
136,ARMAURN,"Unemployment Rate in Madison County, AR"
137,ARMIURN,"Unemployment Rate in Miller County, AR"
138,ARMNURN,"Unemployment Rate in Montgomery County, AR"
139,ARMOURN,"Unemployment Rate in Monroe County, AR"
140,ARMRURN,"Unemployment Rate in Marion County, AR"
141,ARMSURN,"Unemployment Rate in Mississippi County, AR"
142,ARNEURN,"Unemployment Rate in Nevada County, AR"
143,ARNWURN,"Unemployment Rate in Newton County, AR"
144,AROUURN,"Unemployment Rate in Ouachita County, AR"
145,ARPEURN,"Unemployment Rate in Perry County, AR"
146,ARPHURN,"Unemployment Rate in Phillips County, AR"
147,ARPIURN,"Unemployment Rate in Pike County, AR"
148,ARPLURN,"Unemployment Rate in Polk County, AR"
149,ARPOURN,"Unemployment Rate in Poinsett County, AR"
150,ARPPURN,"Unemployment Rate in Pope County, AR"
151,ARPRURN,"Unemployment Rate in Prairie County, AR"
152,ARPUURN,"Unemployment Rate in Pulaski County, AR"
153,ARRAURN,"Unemployment Rate in Randolph County, AR"
154,ARSAURN,"Unemployment Rate in Saline County, AR"
155,ARSBURN,"Unemployment Rate in Sebastian County, AR"
156,ARSCURN,"Unemployment Rate in Scott County, AR"
157,ARSEURN,"Unemployment Rate in Searcy County, AR"
158,ARSHURN,"Unemployment Rate in Sharp County, AR"
159,ARSOURN,"Unemployment Rate in Stone County, AR"
160,ARSTURN,"Unemployment Rate in St. Francis County, AR"
161,ARSVURN,"Unemployment Rate in Sevier County, AR"
162,ARUNURN,"Unemployment Rate in Union County, AR"
163,ARVAURN,"Unemployment Rate in Van Buren County, AR"
164,ARWAURN,"Unemployment Rate in Washington County, AR"
165,ARWHURN,"Unemployment Rate in White County, AR"
166,ARWOURN,"Unemployment Rate in Woodruff County, AR"
167,ARYEURN,"Unemployment Rate in Yell County, AR"
168,AZAPAC0URN,"Unemployment Rate in Apache County, AZ"
169,AZCOCH0URN,"Unemployment Rate in Cochise County, AZ"
170,AZCOCO0URN,"Unemployment Rate in Coconino County, AZ"
171,AZGILA7URN,"Unemployment Rate in Gila County, AZ"
172,AZGRAH9URN,"Unemployment Rate in Graham County, AZ"
173,AZGREE1URN,"Unemployment Rate in Greenlee County, AZ"
174,AZLAPA2URN,"Unemployment Rate in La Paz County, AZ"
175,AZMARI3URN,"Unemployment Rate in Maricopa County, AZ"
176,AZMOHA0URN,"Unemployment Rate in Mohave County, AZ"
177,AZNAVA5URN,"Unemployment Rate in Navajo County, AZ"
178,AZPIMA9URN,"Unemployment Rate in Pima County, AZ"
179,AZPINA5URN,"Unemployment Rate in Pinal County, AZ"
180,AZSANT3URN,"Unemployment Rate in Santa Cruz County, AZ"
