,Series_Type,Series_Name
797,INBOON1URN,"Unemployment Rate in Boone County, IN"
798,INBROW3URN,"Unemployment Rate in Brown County, IN"
799,INCARR5URN,"Unemployment Rate in Carroll County, IN"
800,INCASS7URN,"Unemployment Rate in Cass County, IN"
801,INCLAY1URN,"Unemployment Rate in Clay County, IN"
802,INCLIN3URN,"Unemployment Rate in Clinton County, IN"
803,INCLURN,"Unemployment Rate in Clark County, IN"
804,INCRURN,"Unemployment Rate in Crawford County, IN"
805,INDAURN,"Unemployment Rate in Daviess County, IN"
806,INDEAR9URN,"Unemployment Rate in Dearborn County, IN"
807,INDECA1URN,"Unemployment Rate in Decatur County, IN"
808,INDEKA3URN,"Unemployment Rate in DeKalb County, IN"
809,INDELA5URN,"Unemployment Rate in Delaware County, IN"
810,INDUURN,"Unemployment Rate in Dubois County, IN"
811,INELKH0URN,"Unemployment Rate in Elkhart County, IN"
812,INFAYE1URN,"Unemployment Rate in Fayette County, IN"
813,INFLURN,"Unemployment Rate in Floyd County, IN"
814,INFOUN5URN,"Unemployment Rate in Fountain County, IN"
815,INFRAN7URN,"Unemployment Rate in Franklin County, IN"
816,INFULT9URN,"Unemployment Rate in Fulton County, IN"
817,INGEURN,"Unemployment Rate in Greene County, IN"
818,INGIURN,"Unemployment Rate in Gibson County, IN"
819,INGRAN0URN,"Unemployment Rate in Grant County, IN"
820,INHAMI5URN,"Unemployment Rate in Hamilton County, IN"
821,INHANC9URN,"Unemployment Rate in Hancock County, IN"
822,INHEND0URN,"Unemployment Rate in Hendricks County, IN"
823,INHENR5URN,"Unemployment Rate in Henry County, IN"
824,INHOWA7URN,"Unemployment Rate in Howard County, IN"
825,INHRURN,"Unemployment Rate in Harrison County, IN"
826,INHUNT9URN,"Unemployment Rate in Huntington County, IN"
827,INJASP3URN,"Unemployment Rate in Jasper County, IN"
828,INJAURN,"Unemployment Rate in Jackson County, IN"
829,INJAYC5URN,"Unemployment Rate in Jay County, IN"
830,INJENN9URN,"Unemployment Rate in Jennings County, IN"
831,INJEURN,"Unemployment Rate in Jefferson County, IN"
832,INJOHN5URN,"Unemployment Rate in Johnson County, IN"
833,INKNURN,"Unemployment Rate in Knox County, IN"
834,INKOSC5URN,"Unemployment Rate in Kosciusko County, IN"
835,INLAGR7URN,"Unemployment Rate in LaGrange County, IN"
836,INLAKE9URN,"Unemployment Rate in Lake County, IN"
837,INLAPO0URN,"Unemployment Rate in LaPorte County, IN"
838,INLWURN,"Unemployment Rate in Lawrence County, IN"
839,INMADI5URN,"Unemployment Rate in Madison County, IN"
840,INMARI0URN,"Unemployment Rate in Marion County, IN"
841,INMARS9URN,"Unemployment Rate in Marshall County, IN"
842,INMIAM3URN,"Unemployment Rate in Miami County, IN"
843,INMONR5URN,"Unemployment Rate in Monroe County, IN"
844,INMONT7URN,"Unemployment Rate in Montgomery County, IN"
845,INMORG5URN,"Unemployment Rate in Morgan County, IN"
846,INMTURN,"Unemployment Rate in Martin County, IN"
847,INNEWT1URN,"Unemployment Rate in Newton County, IN"
848,INNOBL3URN,"Unemployment Rate in Noble County, IN"
849,INOHIO5URN,"Unemployment Rate in Ohio County, IN"
850,INORURN,"Unemployment Rate in Orange County, IN"
851,INOWEN9URN,"Unemployment Rate in Owen County, IN"
852,INPARK1URN,"Unemployment Rate in Parke County, IN"
853,INPEURN,"Unemployment Rate in Perry County, IN"
854,INPIURN,"Unemployment Rate in Pike County, IN"
855,INPORT5URN,"Unemployment Rate in Porter County, IN"
856,INPSURN,"Unemployment Rate in Posey County, IN"
857,INPULA1URN,"Unemployment Rate in Pulaski County, IN"
858,INPUTN3URN,"Unemployment Rate in Putnam County, IN"
859,INRAND5URN,"Unemployment Rate in Randolph County, IN"
860,INRIPL7URN,"Unemployment Rate in Ripley County, IN"
861,INRUSH9URN,"Unemployment Rate in Rush County, IN"
862,INSCURN,"Unemployment Rate in Scott County, IN"
863,INSHEL5URN,"Unemployment Rate in Shelby County, IN"
864,INSPURN,"Unemployment Rate in Spencer County, IN"
865,INSTAR9URN,"Unemployment Rate in Starke County, IN"
866,INSTEU1URN,"Unemployment Rate in Steuben County, IN"
867,INSTJO7URN,"Unemployment Rate in St. Joseph County, IN"
868,INSUURN,"Unemployment Rate in Sullivan County, IN"
869,INSWURN,"Unemployment Rate in Switzerland County, IN"
870,INTIPP7URN,"Unemployment Rate in Tippecanoe County, IN"
871,INTIPT9URN,"Unemployment Rate in Tipton County, IN"
872,INUNIO1URN,"Unemployment Rate in Union County, IN"
873,INVAURN,"Unemployment Rate in Vanderburgh County, IN"
874,INVERM5URN,"Unemployment Rate in Vermillion County, IN"
875,INVIGO0URN,"Unemployment Rate in Vigo County, IN"
876,INWABA9URN,"Unemployment Rate in Wabash County, IN"
877,INWARR1URN,"Unemployment Rate in Warren County, IN"
878,INWAYN0URN,"Unemployment Rate in Wayne County, IN"
879,INWELL9URN,"Unemployment Rate in Wells County, IN"
880,INWHIT1URN,"Unemployment Rate in White County, IN"
881,INWHIT3URN,"Unemployment Rate in Whitley County, IN"
882,INWIURN,"Unemployment Rate in Warrick County, IN"
883,INWSURN,"Unemployment Rate in Washington County, IN"
884,KSALLE1URN,"Unemployment Rate in Allen County, KS"
885,KSANDE3URN,"Unemployment Rate in Anderson County, KS"
886,KSATCH5URN,"Unemployment Rate in Atchison County, KS"
887,KSBARB7URN,"Unemployment Rate in Barber County, KS"
888,KSBART9URN,"Unemployment Rate in Barton County, KS"
889,KSBOUR1URN,"Unemployment Rate in Bourbon County, KS"
890,KSBROW3URN,"Unemployment Rate in Brown County, KS"
891,KSBUTL5URN,"Unemployment Rate in Butler County, KS"
892,KSCHAS7URN,"Unemployment Rate in Chase County, KS"
893,KSCHAU9URN,"Unemployment Rate in Chautauqua County, KS"
894,KSCHER1URN,"Unemployment Rate in Cherokee County, KS"
895,KSCHEY3URN,"Unemployment Rate in Cheyenne County, KS"
896,KSCLAR5URN,"Unemployment Rate in Clark County, KS"
897,KSCLAY7URN,"Unemployment Rate in Clay County, KS"
898,KSCLOU9URN,"Unemployment Rate in Cloud County, KS"
899,KSCOFF1URN,"Unemployment Rate in Coffey County, KS"
900,KSCOMA3URN,"Unemployment Rate in Comanche County, KS"
901,KSCOWL5URN,"Unemployment Rate in Cowley County, KS"
902,KSCRAW7URN,"Unemployment Rate in Crawford County, KS"
903,KSDECA9URN,"Unemployment Rate in Decatur County, KS"
904,KSDICK1URN,"Unemployment Rate in Dickinson County, KS"
905,KSDONI3URN,"Unemployment Rate in Doniphan County, KS"
906,KSDOUG5URN,"Unemployment Rate in Douglas County, KS"
907,KSEDWA7URN,"Unemployment Rate in Edwards County, KS"
908,KSELKC9URN,"Unemployment Rate in Elk County, KS"
909,KSELLI1URN,"Unemployment Rate in Ellis County, KS"
910,KSELLS3URN,"Unemployment Rate in Ellsworth County, KS"
911,KSFINN5URN,"Unemployment Rate in Finney County, KS"
912,KSFORD7URN,"Unemployment Rate in Ford County, KS"
913,KSFRAN9URN,"Unemployment Rate in Franklin County, KS"
914,KSGEAR1URN,"Unemployment Rate in Geary County, KS"
915,KSGOVE3URN,"Unemployment Rate in Gove County, KS"
916,KSGRAH5URN,"Unemployment Rate in Graham County, KS"
917,KSGRAN7URN,"Unemployment Rate in Grant County, KS"
918,KSGRAY9URN,"Unemployment Rate in Gray County, KS"
919,KSGREE1URN,"Unemployment Rate in Greeley County, KS"
920,KSGREE3URN,"Unemployment Rate in Greenwood County, KS"
921,KSHAMI5URN,"Unemployment Rate in Hamilton County, KS"
922,KSHARP7URN,"Unemployment Rate in Harper County, KS"
923,KSHARV9URN,"Unemployment Rate in Harvey County, KS"
924,KSHASK1URN,"Unemployment Rate in Haskell County, KS"
925,KSHODG3URN,"Unemployment Rate in Hodgeman County, KS"
926,KSJACK5URN,"Unemployment Rate in Jackson County, KS"
927,KSJEFF7URN,"Unemployment Rate in Jefferson County, KS"
928,KSJEWE9URN,"Unemployment Rate in Jewell County, KS"
929,KSJOHN1URN,"Unemployment Rate in Johnson County, KS"
930,KSKEAR3URN,"Unemployment Rate in Kearny County, KS"
931,KSKING5URN,"Unemployment Rate in Kingman County, KS"
932,KSKIOW7URN,"Unemployment Rate in Kiowa County, KS"
933,KSLABE9URN,"Unemployment Rate in Labette County, KS"
934,KSLANE1URN,"Unemployment Rate in Lane County, KS"
935,KSLEAV0URN,"Unemployment Rate in Leavenworth County, KS"
936,KSLINC5URN,"Unemployment Rate in Lincoln County, KS"
937,KSLINN7URN,"Unemployment Rate in Linn County, KS"
938,KSLOGA9URN,"Unemployment Rate in Logan County, KS"
939,KSLYON1URN,"Unemployment Rate in Lyon County, KS"
940,KSMARI5URN,"Unemployment Rate in Marion County, KS"
941,KSMARS7URN,"Unemployment Rate in Marshall County, KS"
942,KSMCPH3URN,"Unemployment Rate in McPherson County, KS"
943,KSMEAD9URN,"Unemployment Rate in Meade County, KS"
944,KSMIAM1URN,"Unemployment Rate in Miami County, KS"
945,KSMITC3URN,"Unemployment Rate in Mitchell County, KS"
946,KSMONT5URN,"Unemployment Rate in Montgomery County, KS"
947,KSMORR7URN,"Unemployment Rate in Morris County, KS"
948,KSMORT9URN,"Unemployment Rate in Morton County, KS"
949,KSNEMA1URN,"Unemployment Rate in Nemaha County, KS"
950,KSNEOS3URN,"Unemployment Rate in Neosho County, KS"
951,KSNESS5URN,"Unemployment Rate in Ness County, KS"
952,KSNORT7URN,"Unemployment Rate in Norton County, KS"
953,KSOSAG9URN,"Unemployment Rate in Osage County, KS"
954,KSOSBO1URN,"Unemployment Rate in Osborne County, KS"
955,KSOTTA3URN,"Unemployment Rate in Ottawa County, KS"
956,KSPAWN5URN,"Unemployment Rate in Pawnee County, KS"
957,KSPHIL7URN,"Unemployment Rate in Phillips County, KS"
958,KSPOTT9URN,"Unemployment Rate in Pottawatomie County, KS"
959,KSPRAT1URN,"Unemployment Rate in Pratt County, KS"
960,KSRAWL3URN,"Unemployment Rate in Rawlins County, KS"
961,KSRENO5URN,"Unemployment Rate in Reno County, KS"
962,KSREPU7URN,"Unemployment Rate in Republic County, KS"
963,KSRICE9URN,"Unemployment Rate in Rice County, KS"
964,KSRILE0URN,"Unemployment Rate in Riley County, KS"
965,KSROOK3URN,"Unemployment Rate in Rooks County, KS"
966,KSRUSH5URN,"Unemployment Rate in Rush County, KS"
967,KSRUSS7URN,"Unemployment Rate in Russell County, KS"
968,KSSALI0URN,"Unemployment Rate in Saline County, KS"
969,KSSCOT1URN,"Unemployment Rate in Scott County, KS"
970,KSSEDG3URN,"Unemployment Rate in Sedgwick County, KS"
971,KSSEWA5URN,"Unemployment Rate in Seward County, KS"
972,KSSHAW5URN,"Unemployment Rate in Shawnee County, KS"
973,KSSHER1URN,"Unemployment Rate in Sherman County, KS"
974,KSSHER9URN,"Unemployment Rate in Sheridan County, KS"
975,KSSMIT3URN,"Unemployment Rate in Smith County, KS"
976,KSSTAF5URN,"Unemployment Rate in Stafford County, KS"
977,KSSTAN7URN,"Unemployment Rate in Stanton County, KS"
978,KSSTEV9URN,"Unemployment Rate in Stevens County, KS"
979,KSSUMN1URN,"Unemployment Rate in Sumner County, KS"
980,KSTHOM3URN,"Unemployment Rate in Thomas County, KS"
981,KSTREG5URN,"Unemployment Rate in Trego County, KS"
982,KSWABA7URN,"Unemployment Rate in Wabaunsee County, KS"
983,KSWALL9URN,"Unemployment Rate in Wallace County, KS"
984,KSWASH1URN,"Unemployment Rate in Washington County, KS"
985,KSWICH3URN,"Unemployment Rate in Wichita County, KS"
986,KSWILS5URN,"Unemployment Rate in Wilson County, KS"
987,KSWOOD7URN,"Unemployment Rate in Woodson County, KS"
988,KSWYAN0URN,"Unemployment Rate in Wyandotte County, KS"
989,KYADURN,"Unemployment Rate in Adair County, KY"
990,KYALURN,"Unemployment Rate in Allen County, KY"
991,KYANURN,"Unemployment Rate in Anderson County, KY"
992,KYBATH1URN,"Unemployment Rate in Bath County, KY"
993,KYBAURN,"Unemployment Rate in Ballard County, KY"
994,KYBELL3URN,"Unemployment Rate in Bell County, KY"
995,KYBIURN,"Unemployment Rate in Bullitt County, KY"
996,KYBKURN,"Unemployment Rate in Breckinridge County, KY"
997,KYBLURN,"Unemployment Rate in Boyle County, KY"
998,KYBNURN,"Unemployment Rate in Butler County, KY"
999,KYBOON5URN,"Unemployment Rate in Boone County, KY"
1000,KYBOUR7URN,"Unemployment Rate in Bourbon County, KY"
1001,KYBOYD5URN,"Unemployment Rate in Boyd County, KY"
1002,KYBRAC3URN,"Unemployment Rate in Bracken County, KY"
1003,KYBREA5URN,"Unemployment Rate in Breathitt County, KY"
1004,KYBRURN,"Unemployment Rate in Barren County, KY"
1005,KYCAMP0URN,"Unemployment Rate in Campbell County, KY"
1006,KYCART3URN,"Unemployment Rate in Carter County, KY"
1007,KYCAURN,"Unemployment Rate in Caldwell County, KY"
1008,KYCEURN,"Unemployment Rate in Crittenden County, KY"
1009,KYCHURN,"Unemployment Rate in Christian County, KY"
1010,KYCIURN,"Unemployment Rate in Clinton County, KY"
1011,KYCLAR9URN,"Unemployment Rate in Clark County, KY"
1012,KYCLAY1URN,"Unemployment Rate in Clay County, KY"
1013,KYCLURN,"Unemployment Rate in Calloway County, KY"
1014,KYCOURN,"Unemployment Rate in Carroll County, KY"
1015,KYCRURN,"Unemployment Rate in Carlisle County, KY"
1016,KYCSURN,"Unemployment Rate in Casey County, KY"
1017,KYCUURN,"Unemployment Rate in Cumberland County, KY"
1018,KYDAURN,"Unemployment Rate in Daviess County, KY"
1019,KYEDURN,"Unemployment Rate in Edmonson County, KY"
1020,KYELLI3URN,"Unemployment Rate in Elliott County, KY"
1021,KYESTI5URN,"Unemployment Rate in Estill County, KY"
1022,KYFAYE5URN,"Unemployment Rate in Fayette County, KY"
1023,KYFLEM9URN,"Unemployment Rate in Fleming County, KY"
1024,KYFLOY1URN,"Unemployment Rate in Floyd County, KY"
1025,KYFRURN,"Unemployment Rate in Franklin County, KY"
1026,KYFUURN,"Unemployment Rate in Fulton County, KY"
1027,KYGARR9URN,"Unemployment Rate in Garrard County, KY"
1028,KYGAURN,"Unemployment Rate in Gallatin County, KY"
1029,KYGEURN,"Unemployment Rate in Green County, KY"
1030,KYGRAN1URN,"Unemployment Rate in Grant County, KY"
1031,KYGREE9URN,"Unemployment Rate in Greenup County, KY"
1032,KYGVURN,"Unemployment Rate in Graves County, KY"
1033,KYGYURN,"Unemployment Rate in Grayson County, KY"
1034,KYHANC1URN,"Unemployment Rate in Hancock County, KY"
1035,KYHARL5URN,"Unemployment Rate in Harlan County, KY"
1036,KYHARR7URN,"Unemployment Rate in Harrison County, KY"
1037,KYHAURN,"Unemployment Rate in Hancock County, KY"
1038,KYHCURN,"Unemployment Rate in Hickman County, KY"
1039,KYHEURN,"Unemployment Rate in Henderson County, KY"
1040,KYHNURN,"Unemployment Rate in Henry County, KY"
1041,KYHOURN,"Unemployment Rate in Hopkins County, KY"
1042,KYHRURN,"Unemployment Rate in Hardin County, KY"
1043,KYHTURN,"Unemployment Rate in Hart County, KY"
1044,KYJACK9URN,"Unemployment Rate in Jackson County, KY"
1045,KYJESS3URN,"Unemployment Rate in Jessamine County, KY"
1046,KYJEURN,"Unemployment Rate in Jefferson County, KY"
1047,KYJOHN5URN,"Unemployment Rate in Johnson County, KY"
1048,KYKENT7URN,"Unemployment Rate in Kenton County, KY"
1049,KYKNOT9URN,"Unemployment Rate in Knott County, KY"
1050,KYKNOX1URN,"Unemployment Rate in Knox County, KY"
1051,KYLAUR5URN,"Unemployment Rate in Laurel County, KY"
1052,KYLAURN,"Unemployment Rate in Larue County, KY"
1053,KYLAWR7URN,"Unemployment Rate in Lawrence County, KY"
1054,KYLEEC9URN,"Unemployment Rate in Lee County, KY"
1055,KYLESL1URN,"Unemployment Rate in Leslie County, KY"
1056,KYLETC3URN,"Unemployment Rate in Letcher County, KY"
1057,KYLEWI5URN,"Unemployment Rate in Lewis County, KY"
1058,KYLINC7URN,"Unemployment Rate in Lincoln County, KY"
1059,KYLOURN,"Unemployment Rate in Logan County, KY"
1060,KYLVURN,"Unemployment Rate in Livingston County, KY"
1061,KYLYURN,"Unemployment Rate in Lyon County, KY"
1062,KYMADI0URN,"Unemployment Rate in Madison County, KY"
1063,KYMAGO3URN,"Unemployment Rate in Magoffin County, KY"
1064,KYMART9URN,"Unemployment Rate in Martin County, KY"
1065,KYMASO1URN,"Unemployment Rate in Mason County, KY"
1066,KYMCCR7URN,"Unemployment Rate in McCreary County, KY"
1067,KYMCURN,"Unemployment Rate in McCracken County, KY"
1068,KYMENI5URN,"Unemployment Rate in Menifee County, KY"
1069,KYMEURN,"Unemployment Rate in Meade County, KY"
1070,KYMFURN,"Unemployment Rate in Metcalfe County, KY"
1071,KYMHURN,"Unemployment Rate in Muhlenberg County, KY"
1072,KYMIURN,"Unemployment Rate in Marion County, KY"
1073,KYMLURN,"Unemployment Rate in McLean County, KY"
1074,KYMONT3URN,"Unemployment Rate in Montgomery County, KY"
1075,KYMORG5URN,"Unemployment Rate in Morgan County, KY"
1076,KYMSURN,"Unemployment Rate in Marshall County, KY"
1077,KYMUURN,"Unemployment Rate in Mercer County, KY"
1078,KYMYURN,"Unemployment Rate in Monroe County, KY"
1079,KYNEURN,"Unemployment Rate in Nelson County, KY"
1080,KYNICH1URN,"Unemployment Rate in Nicholas County, KY"
1081,KYOHURN,"Unemployment Rate in Ohio County, KY"
1082,KYOLURN,"Unemployment Rate in Oldham County, KY"
1083,KYOWSL9URN,"Unemployment Rate in Owsley County, KY"
1084,KYOWURN,"Unemployment Rate in Owen County, KY"
1085,KYPEND1URN,"Unemployment Rate in Pendleton County, KY"
1086,KYPERR3URN,"Unemployment Rate in Perry County, KY"
1087,KYPIKE0URN,"Unemployment Rate in Pike County, KY"
1088,KYPOWE7URN,"Unemployment Rate in Powell County, KY"
1089,KYPULA9URN,"Unemployment Rate in Pulaski County, KY"
1090,KYROBE1URN,"Unemployment Rate in Robertson County, KY"
1091,KYROCK3URN,"Unemployment Rate in Rockcastle County, KY"
1092,KYROWA5URN,"Unemployment Rate in Rowan County, KY"
1093,KYRUURN,"Unemployment Rate in Russell County, KY"
1094,KYSCOT9URN,"Unemployment Rate in Scott County, KY"
1095,KYSHURN,"Unemployment Rate in Shelby County, KY"
1096,KYSIURN,"Unemployment Rate in Simpson County, KY"
1097,KYSPURN,"Unemployment Rate in Spencer County, KY"
1098,KYTAURN,"Unemployment Rate in Taylor County, KY"
1099,KYTIURN,"Unemployment Rate in Trimble County, KY"
1100,KYTOURN,"Unemployment Rate in Todd County, KY"
1101,KYTRURN,"Unemployment Rate in Trigg County, KY"
1102,KYUNURN,"Unemployment Rate in Union County, KY"
1103,KYWAURN,"Unemployment Rate in Warren County, KY"
1104,KYWEURN,"Unemployment Rate in Webster County, KY"
1105,KYWHIT5URN,"Unemployment Rate in Whitley County, KY"
1106,KYWOLF7URN,"Unemployment Rate in Wolfe County, KY"
1107,KYWOOD9URN,"Unemployment Rate in Woodford County, KY"
1108,KYWSURN,"Unemployment Rate in Washington County, KY"
1109,KYWYURN,"Unemployment Rate in Wayne County, KY"
1110,LAACAD0URN,"Unemployment Rate in Acadia Parish, LA"
1111,LAALLE3URN,"Unemployment Rate in Allen Parish, LA"
1112,LAASCE0URN,"Unemployment Rate in Ascension Parish, LA"
1113,LAASSU7URN,"Unemployment Rate in Assumption Parish, LA"
1114,LAAVOY9URN,"Unemployment Rate in Avoyelles Parish, LA"
1115,LABEAU1URN,"Unemployment Rate in Beauregard Parish, LA"
1116,LABIEN3URN,"Unemployment Rate in Bienville Parish, LA"
1117,LABOSS5URN,"Unemployment Rate in Bossier Parish, LA"
1118,LACADD7URN,"Unemployment Rate in Caddo Parish, LA"
1119,LACALC9URN,"Unemployment Rate in Calcasieu Parish, LA"
1120,LACALD1URN,"Unemployment Rate in Caldwell Parish, LA"
1121,LACAME3URN,"Unemployment Rate in Cameron Parish, LA"
1122,LACATA5URN,"Unemployment Rate in Catahoula Parish, LA"
1123,LACLAI7URN,"Unemployment Rate in Claiborne Parish, LA"
1124,LACONC9URN,"Unemployment Rate in Concordia Parish, LA"
1125,LADESO1URN,"Unemployment Rate in De Soto Parish, LA"
1126,LAEAST3URN,"Unemployment Rate in East Carroll Parish, LA"
1127,LAEAST5URN,"Unemployment Rate in East Baton Rouge Parish, LA"
1128,LAEAST7URN,"Unemployment Rate in East Feliciana Parish, LA"
1129,LAEVAN9URN,"Unemployment Rate in Evangeline Parish, LA"
1130,LAFRAN1URN,"Unemployment Rate in Franklin Parish, LA"
1131,LAGRAN3URN,"Unemployment Rate in Grant Parish, LA"
1132,LAIBER0URN,"Unemployment Rate in Iberia Parish, LA"
1133,LAIBER7URN,"Unemployment Rate in Iberville Parish, LA"
1134,LAJACK9URN,"Unemployment Rate in Jackson Parish, LA"
1135,LAJEFF3URN,"Unemployment Rate in Jefferson Davis Parish, LA"
1136,LAJEFF5URN,"Unemployment Rate in Jefferson Parish, LA"
1137,LALAFA7URN,"Unemployment Rate in Lafayette Parish, LA"
1138,LALAFO5URN,"Unemployment Rate in Lafourche Parish, LA"
1139,LALASA9URN,"Unemployment Rate in La Salle Parish, LA"
1140,LALINC1URN,"Unemployment Rate in Lincoln Parish, LA"
1141,LALIVI7URN,"Unemployment Rate in Livingston Parish, LA"
1142,LAMADI5URN,"Unemployment Rate in Madison Parish, LA"
1143,LAMORE7URN,"Unemployment Rate in Morehouse Parish, LA"
1144,LANATC9URN,"Unemployment Rate in Natchitoches Parish, LA"
1145,LAORLE0URN,"Unemployment Rate in Orleans Parish, LA"
1146,LAOUAC2URN,"Unemployment Rate in Ouachita Parish, LA"
1147,LAPLAQ5URN,"Unemployment Rate in Plaquemines Parish, LA"
1148,LAPOIN7URN,"Unemployment Rate in Pointe Coupee Parish, LA"
1149,LARAPI5URN,"Unemployment Rate in Rapides Parish, LA"
1150,LAREDR1URN,"Unemployment Rate in Red River Parish, LA"
1151,LARICH3URN,"Unemployment Rate in Richland Parish, LA"
1152,LASABI5URN,"Unemployment Rate in Sabine Parish, LA"
1153,LASTBE5URN,"Unemployment Rate in St. Bernard Parish, LA"
1154,LASTCH9URN,"Unemployment Rate in St. Charles Parish, LA"
1155,LASTHE1URN,"Unemployment Rate in St. Helena Parish, LA"
1156,LASTJA3URN,"Unemployment Rate in St. James Parish, LA"
1157,LASTJO5URN,"Unemployment Rate in St. John the Baptist Parish, LA"
1158,LASTLA0URN,"Unemployment Rate in St. Landry Parish, LA"
1159,LASTMA5URN,"Unemployment Rate in St. Mary Parish, LA"
1160,LASTMA9URN,"Unemployment Rate in St. Martin Parish, LA"
1161,LASTTA0URN,"Unemployment Rate in St. Tammany Parish, LA"
1162,LATANG5URN,"Unemployment Rate in Tangipahoa Parish, LA"
1163,LATENS7URN,"Unemployment Rate in Tensas Parish, LA"
1164,LATERR5URN,"Unemployment Rate in Terrebonne Parish, LA"
1165,LAUCN021580000000003,"Unemployment Rate in Kusilvak Census Area, AK"
1166,LAUCN021950000000003,"Unemployment Rate in Petersburg Borough, AK"
1167,LAUCN022300000000003,"Unemployment Rate in Skagway Municipality, AK"
1168,LAUCN461020000000003,"Unemployment Rate in Oglala Lakota County, SD"
1169,LAUCT028638000000003,"Unemployment Rate in Wrangell Borough/City, AK"
1170,LAUNIO1URN,"Unemployment Rate in Union Parish, LA"
1171,LAVERM3URN,"Unemployment Rate in Vermilion Parish, LA"
1172,LAVERN5URN,"Unemployment Rate in Vernon Parish, LA"
1173,LAWASH7URN,"Unemployment Rate in Washington Parish, LA"
1174,LAWEBS9URN,"Unemployment Rate in Webster Parish, LA"
1175,LAWEST1URN,"Unemployment Rate in West Baton Rouge Parish, LA"
1176,LAWEST3URN,"Unemployment Rate in West Carroll Parish, LA"
1177,LAWEST5URN,"Unemployment Rate in West Feliciana Parish, LA"
1178,LAWINN7URN,"Unemployment Rate in Winn Parish, LA"
1179,MABARN1URN,"Unemployment Rate in Barnstable County, MA"
1180,MABERK2URN,"Unemployment Rate in Berkshire County, MA"
1181,MABRIS5URN,"Unemployment Rate in Bristol County, MA"
1182,MADUKE7URN,"Unemployment Rate in Dukes County, MA"
1183,MAESSE9URN,"Unemployment Rate in Essex County, MA"
1184,MAFRAN1URN,"Unemployment Rate in Franklin County, MA"
1185,MAHAMP0URN,"Unemployment Rate in Hampden County, MA"
1186,MAHAMP5URN,"Unemployment Rate in Hampshire County, MA"
1187,MAMIDD7URN,"Unemployment Rate in Middlesex County, MA"
1188,MANANT9URN,"Unemployment Rate in Nantucket County/town, MA"
1189,MANORF1URN,"Unemployment Rate in Norfolk County, MA"
1190,MAPLYM3URN,"Unemployment Rate in Plymouth County, MA"
1191,MASUFF5URN,"Unemployment Rate in Suffolk County, MA"
1192,MAWORC7URN,"Unemployment Rate in Worcester County, MA"
1193,MDALLE0URN,"Unemployment Rate in Allegany County, MD"
1194,MDANNE5URN,"Unemployment Rate in Anne Arundel County, MD"
1195,MDBALT0URN,"Unemployment Rate in Baltimore County, MD"
1196,MDBALT5URN,"Unemployment Rate in Baltimore City, MD"
1197,MDCALV9URN,"Unemployment Rate in Calvert County, MD"
1198,MDCARO1URN,"Unemployment Rate in Caroline County, MD"
1199,MDCARR5URN,"Unemployment Rate in Carroll County, MD"
1200,MDCECI0URN,"Unemployment Rate in Cecil County, MD"
1201,MDCHAR0URN,"Unemployment Rate in Charles County, MD"
1202,MDDORC9URN,"Unemployment Rate in Dorchester County, MD"
1203,MDFRED5URN,"Unemployment Rate in Frederick County, MD"
1204,MDGARR3URN,"Unemployment Rate in Garrett County, MD"
1205,MDHARF0URN,"Unemployment Rate in Harford County, MD"
1206,MDHOWA0URN,"Unemployment Rate in Howard County, MD"
1207,MDKENT9URN,"Unemployment Rate in Kent County, MD"
1208,MDMONT0URN,"Unemployment Rate in Montgomery County, MD"
1209,MDPRIN5URN,"Unemployment Rate in Prince George's County, MD"
1210,MDQUEE5URN,"Unemployment Rate in Queen Anne's County, MD"
1211,MDSOME9URN,"Unemployment Rate in Somerset County, MD"
1212,MDSTMA5URN,"Unemployment Rate in St. Mary's County, MD"
1213,MDTALB1URN,"Unemployment Rate in Talbot County, MD"
1214,MDWASH5URN,"Unemployment Rate in Washington County, MD"
1215,MDWICO5URN,"Unemployment Rate in Wicomico County, MD"
1216,MDWORC7URN,"Unemployment Rate in Worcester County, MD"
1217,MEANDR0URN,"Unemployment Rate in Androscoggin County, ME"
1218,MEAROO5URN,"Unemployment Rate in Aroostook County, ME"
1219,MECUMB5URN,"Unemployment Rate in Cumberland County, ME"
1220,MEFRAN7URN,"Unemployment Rate in Franklin County, ME"
1221,MEHANC9URN,"Unemployment Rate in Hancock County, ME"
1222,MEKENN7URN,"Unemployment Rate in Kennebec County, ME"
1223,MEKNOX3URN,"Unemployment Rate in Knox County, ME"
1224,MELINC5URN,"Unemployment Rate in Lincoln County, ME"
1225,MEOXFO7URN,"Unemployment Rate in Oxford County, ME"
1226,MEPENO0URN,"Unemployment Rate in Penobscot County, ME"
1227,MEPISC1URN,"Unemployment Rate in Piscataquis County, ME"
1228,MESAGA3URN,"Unemployment Rate in Sagadahoc County, ME"
1229,MESOME5URN,"Unemployment Rate in Somerset County, ME"
1230,MEWALD7URN,"Unemployment Rate in Waldo County, ME"
1231,MEWASH9URN,"Unemployment Rate in Washington County, ME"
1232,MEYORK0URN,"Unemployment Rate in York County, ME"
1233,MIALCO1URN,"Unemployment Rate in Alcona County, MI"
1234,MIALGE3URN,"Unemployment Rate in Alger County, MI"
1235,MIALLE0URN,"Unemployment Rate in Allegan County, MI"
1236,MIALPE7URN,"Unemployment Rate in Alpena County, MI"
1237,MIANTR9URN,"Unemployment Rate in Antrim County, MI"
